,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_leaf_nodes,param_model__n_estimators,param_model__random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,data_frame,cv_train_size,cv_test_size,lag_time,scoring_method,features_to_use
0,0.006252312660217285,0.0021370742571770952,0.0009276390075683594,4.07293746115227e-05,,,10,1337,"{'model__max_depth': None, 'model__max_leaf_nodes': None, 'model__n_estimators': 10, 'model__random_state': 1337}",-6.545487976074213,-5.419890136718749,-7.745280456542974,-3.979322204589846,-1.9102688598632824,-3.834834594726567,-3.1292889404296886,-4.768032836914057,-3.466569824218749,-4.442666320800771,-4.52416421508789,1.612403123393346,19,finbert_summary_sentiment_df,10,5,0,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
1,0.00912928581237793,0.0013910797189595162,0.0011911392211914062,0.0005504379603121426,,,20,1337,"{'model__max_depth': None, 'model__max_leaf_nodes': None, 'model__n_estimators': 20, 'model__random_state': 1337}",-6.180009613037112,-5.311317443847656,-7.029298858642574,-3.2087808227539085,-1.3605485534667934,-3.663612976074222,-3.479382781982423,-4.379700927734371,-4.3271562194824185,-4.601769866943357,-4.354157806396484,1.5160682903474532,7,finbert_summary_sentiment_df,10,5,0,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
2,0.04340353012084961,0.009855741292252312,0.0023406028747558595,0.0014740188529549611,,,100,1337,"{'model__max_depth': None, 'model__max_leaf_nodes': None, 'model__n_estimators': 100, 'model__random_state': 1337}",-6.4128595581054695,-5.126754089355472,-7.440783111572268,-1.7640972595214806,-1.6649770202636716,-3.8664169921874985,-3.8418711547851556,-4.561076629638666,-4.135554229736334,-4.709331329345696,-4.352372137451171,1.7035130939954877,3,finbert_summary_sentiment_df,10,5,0,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
3,0.006202840805053711,0.0020695395316225012,0.0007390975952148438,6.272058306194039e-05,,5,10,1337,"{'model__max_depth': None, 'model__max_leaf_nodes': 5, 'model__n_estimators': 10, 'model__random_state': 1337}",-6.686034800211582,-5.587424784342448,-7.604287109375003,-3.9726705220540284,-1.6688228352864427,-3.8255954895019557,-3.19315657043457,-4.754274566650383,-3.4635243733724166,-4.518977152506511,-4.527476820373534,1.648814381057855,21,finbert_summary_sentiment_df,10,5,0,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
4,0.008550214767456054,0.0008100337578401381,0.0013805150985717774,0.0013396262225115524,,5,20,1337,"{'model__max_depth': None, 'model__max_leaf_nodes': 5, 'model__n_estimators': 20, 'model__random_state': 1337}",-6.302098058064774,-5.415207010904948,-6.701880900065106,-3.236010915120443,-1.3269430796305186,-3.6698934631347697,-3.5199076258341564,-4.371447891235357,-4.336666628519708,-4.679512557983395,-4.355956813049318,1.4871785746546131,11,finbert_summary_sentiment_df,10,5,0,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
5,0.03825342655181885,0.004901260321726072,0.0030222415924072267,0.002340317852825236,,5,100,1337,"{'model__max_depth': None, 'model__max_leaf_nodes': 5, 'model__n_estimators': 100, 'model__random_state': 1337}",-6.4809443339029995,-5.1399479741414265,-7.249848979695628,-1.7225222290039142,-1.6765185648600152,-3.8657922709146875,-3.798114144388825,-4.583794774373388,-4.129239585876462,-4.806192163085956,-4.345291502024329,1.6874693464424484,1,finbert_summary_sentiment_df,10,5,0,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
6,0.006794333457946777,0.004034087090168152,0.0008047819137573242,0.0002512481694831581,,10,10,1337,"{'model__max_depth': None, 'model__max_leaf_nodes': 10, 'model__n_estimators': 10, 'model__random_state': 1337}",-6.707108459472653,-5.5922171020507845,-7.518817138671875,-4.234144287109376,-1.734478759765625,-3.836025085449222,-3.22681823730469,-4.7960409545898415,-3.4711380004882755,-4.396979064941405,-4.551376708984375,1.6151959403285143,23,finbert_summary_sentiment_df,10,5,0,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
7,0.008534741401672364,0.0018440058459306089,0.000817251205444336,2.6207353694614353e-05,,10,20,1337,"{'model__max_depth': None, 'model__max_leaf_nodes': 10, 'model__n_estimators': 20, 'model__random_state': 1337}",-6.326657104492182,-5.441802978515625,-6.655493469238285,-3.287275543212894,-1.3594564819335972,-3.686058197021481,-3.5599288940429688,-4.3507997131347675,-4.300241394042979,-4.586672668457032,-4.3554386444091815,1.4700498898309782,9,finbert_summary_sentiment_df,10,5,0,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
8,0.03949332237243652,0.008642003213607174,0.0021563053131103517,0.0009728536758588548,,10,100,1337,"{'model__max_depth': None, 'model__max_leaf_nodes': 10, 'model__n_estimators': 100, 'model__random_state': 1337}",-6.4800462951660105,-5.169409698486334,-7.273254760742191,-1.828609649658199,-1.6814234313964789,-3.8785339050292977,-3.8040706787109344,-4.58407907104492,-4.120914916992189,-4.713661437988281,-4.353400384521484,1.673092471313557,5,finbert_summary_sentiment_df,10,5,0,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
9,0.005050086975097656,0.0010350664344943217,0.0006899356842041016,2.689966005349858e-05,2,,10,1337,"{'model__max_depth': 2, 'model__max_leaf_nodes': None, 'model__n_estimators': 10, 'model__random_state': 1337}",-6.804111480712896,-5.558062347412107,-7.710343170166027,-4.213378000895181,-1.75671819051106,-3.835541554768889,-3.248304992675776,-4.663655258178693,-3.6310406494140692,-4.540115737915039,-4.596127138264974,1.6444391138639805,25,finbert_summary_sentiment_df,10,5,0,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
